,name,o-grade,abv-comment,location
1264,"androma""de",0 -,nice,"France, Savoie, La Balme de Yenne"
1265,cannibale,0 -,x,"France, Savoie, La Balme de Yenne"
1266,alien,0 -,x,"France, Savoie, La Balme de Yenne"
1267,revelations,0 -,x,"United Kingdom, Raven Tor"
1268,ecstasy,0 -,x,"United Kingdom, Kilnsey"
1269,overnite sensation,0 -,x,"United Kingdom, Malham"
1270,life style,0 -,x,"Spain, Siurana, El NA(c)gociA(c)e"
1271,repelando en la baa+-era nena,0 -,x,"Spain, Siurana, Can Codolar"
1272,2nd pitch in aparador,0 -,nice,"Spain, Siurana, L'Aparador"
1273,cycle,0 -,x,"Spain, Siurana, Can Rebotat"
1274,gigololo,0,x,"Spain, Siurana, Can Piqui Pugui"
1275,outback l1+l2,0 -,x,"Spain, Siurana, El NA(c)gociA(c)e"
1276,rage de dents l1,0,x,"France, Gard, Seynes"
1277,kukux-klan,0 -,x,"Spain, Siurana, EsperA3 Primavera"
1278,tic i toc,0,x,"Spain, Siurana, L'Olla"
1279,la cara que no miente,0,x,"Spain, Siurana, L'Olla"
1280,peter pan,0 -,x,"Italy, Milano, Cornalba"
1281,miss lily,0 -,nice,"Italy, Milano, Cornalba"
1282,metamorphose,0,x,"Germany, Frankenjura, Vergessene Welt"
1283,tattergreis,0 -,x,"Germany, Frankenjura, Luisenwand (Burggrub)"
1284,il principe plus,0 -,x,"Italy, Sardinia, Domusnovas"
1285,master mind,0 -,x,"Italy, Sardinia, Domusnovas"
1286,don rodrigo,0 -,x,"Italy, Sardinia, Domusnovas"
1287,asso di cuori,0 -,x,"Italy, Sardinia, Domusnovas"
1288,bastard,0 -,x,"Germany, Frankenjura, GrA 1/4 ne HAPlle"
1289,y=24x(x-2),0 -,x,"Austria, Kufstein, Geisterschmiedwand"
1290,alt und neu,0 -,x,"Austria, Kufstein, Geisterschmiedwand"
1291,n.n.,0,x,"Austria, Kalkogel"
1292,n.n.,0,x,"Austria, Kalkogel"
1293,schmunzelmonster,0 -,x,"Switzerland, Basler Jura, Falkenflue"
1294,the wall,0,x,"Switzerland, Basler Jura, Pelzli"
1295,desireless,0 -,amazing,"Austria, Zillertal, Tulfer"
1296,uranus,0 -,x,"Austria, GAPtterwandl"
1297,ares,0 -,x,"Austria, GAPtterwandl"
1298,the duke,0 -,x,"South Africa, Baviaanskloof"
1299,short circuit,0 -,x,"South Africa, Short Circuit Sector - Oudtshoorn"
1300,imitation of levitation,0 -,x,"South Africa, Fort Fordyce"
1301,n.n.,0 -,nice,"Italy, Animal house, Lecco"
1302,myai mause,0 -,x,"Czechia, Srbsko"
1303,nama 1/2  bobea,0 -,x,"Czechia, Srbsko"
1304,mammifere vibes,0 -,x,"Greece, Kalymnos, Arhi"
1305,ne pas toucher a ma bite,0 -,x,"Greece, Kalymnos, Arhi"
1306,dna ext,0 -,x,"Greece, Kalymnos, Grande Grotta"
1307,bill bob,0 -,x,"Austria, Zillertal, GschlAPssl"
1308,super davide,0 -,x,"Italy, Verona, Covolo"
1309,balla coi lupi,0 -,perfect,"Italy, Verona, Covolo"
1310,super titi,0 -,x,"Italy, Verona, Covolo"
1311,vusada,0 -,x,"Italy, Masone"
1312,crisscross,0 -,x,"Italy, Scudi di Valgrande"
1313,odissea,0 -,x,"Italy, Arco, Unknown Crag"
1314,humildes pa'arriba,0 -,x,"Spain, Lleida, Oliana"
1315,esau,0 -,amazing,"Spain, Margalef, Cova Soleiada"
1316,nanotechnologie,0 -,x,"France, Gard, Seynes"
1317,el fustigador,0 -,x,"Spain, Margalef, El RacA3 de La Finestra"
1318,la 32 metres,0 -,x,"France, Gard, Seynes"
1319,si,0 -,x,"Italy, Andonno"
1320,la course des nuages,0 -,amazing,"France, Calanques, Rocher de Saint Michel d'eau douce (Goudes)"
1321,wave,0 -,easy,"Czechia, RoviA!tA"
1322,styx,0 -,x,"Czechia, MoravskA 1/2  kras"
1323,troja,0 -,x,"Slovenia, Osp/Misja Pec, Luknja"
1324,aberflieger,0 -,perfect,"Austria, Wilder Kaiser, Schleierwasserfall"
1325,walou la voie,0 -,x,"France, Nice, Gorges du Loup"
1326,minas morgul,0 -,x,"Austria, Atztal, Niederthai"
1327,om,0 -,x,"Italy, Sardinia, Domusnovas"
1328,i normali eccezionali,0,x,"Italy, Sardinia, Domusnovas"
1329,asterix,0 -,x,"Italy, Sardinia, Domusnovas"
1330,shrek,0 -,x,"Italy, Sardinia, Domusnovas"
1331,freestyle,0 -,x,"Germany, Frankenjura, Schwingbogen"
1332,thriller,0 -,x,"Germany, Frankenjura, SchuIttersmuIhler Wand"
1333,steel monkey,0 -,x,"Austria, Kufstein, Geisterschmiedwand"
1334,double big mac,0 -,x,"Austria, Atztal, Niederthai"
1335,dizzkneeland,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1336,traveling hearts,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1337,helpless,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1338,spiel der meister,0 -,x,"Austria, Kufstein, Sparchen"
1339,die letzte sau,0 -,perfect,"Austria, Wilder Kaiser, Schleierwasserfall"
1340,wien ist anders,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1341,la creatura,0 -,x,"Italy, Val d'Aosta, Il Cubo"
1342,la creazione,0 -,x,"Italy, Val d'Aosta, Il Cubo"
1343,das weiae wunder,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1344,white winds,0 -,hard,"Austria, Wilder Kaiser, Schleierwasserfall"
1345,chiquita,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1346,la pulce d'aqua,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1347,la vitrine,0 -,x,"France, Nice, Gorges du Loup"
1348,ali baba,1,x,"Unknown, Aiglun"
1349,n.n.,0,x,"France, Montpellier, Boffi"
1350,mamba,0 -,x,"Germany, Pfalz, Retschelfelsen Retschelgrat"
1351,damenchaos,0 -,x,"Austria, Wilder Kaiser, Schleierwasserfall"
1352,flex control,0 -,x,"Germany, Frankenjura, Neppwand"
1353,amen,0 -,x,"Italy, Arco, Unknown Crag"
1354,sunrise avenue,0 -,x,"Germany, Frankenjura, Glocke"
1355,vacas locas,0 -,x,"Spain, Montserrat, Totxo del Clot del Tambor"
1356,n.n.,0 -,x,"Spain, Siurana, EsperA3 Primavera"
1357,zepequea+-o,0 -,x,"Spain, Lleida, Santa Linya"
1358,kolumna kalymna,0 -,x,"Spain, Lleida, Santa Linya"
1359,express surmarqua(c)e,0 -,x,"France, Saint LA(c)ger, Face Ouest"
1360,praniania,0 -,x,"France, Saint LA(c)ger, Praniania"
1361,world music,0 -,x,"Italy, Sardinia, Isili"
1362,scaramacai,0 -,nice,"Italy, Sardinia, Codula Fuili"
1363,klasika,0 -,x,"Czechia, TeplickA(c) skA!ly"
1364,kap der angst,0 -,x,"Germany, Frankenjura, Gummistiefelwand"
1365,fingerfood,0 -,nice,"Germany, Frankenjura, Kuhkirchner Wand"
1366,shisha pagma,0 -,x,"Ecuador, Sigsipamba"
1367,project silva,0 -,x,"Ecuador, Cojitambo"
1368,asterix,0,x,"Ecuador, San Fernando"
1369,polymorphie,0 -,nice,"Germany, Frankenjura, Plankenstein"
1370,bandit,0 -,nice,"Switzerland, Voralpsee"
1371,netolerance upocence,0 -,hard,"Czechia, Sloup"
1372,grandmaster flash,0 -,x,"Germany, Frankenjura, Burg Rabenstein (Solarium)"
1373,kaum zeit zum atmen,0 -,x,"Germany, Frankenjura, Luisenwand (Burggrub)"
1374,krups,0 -,x,"Austria, Rax-Schneeberg-Gruppe, AdlitzgrA$?ben"
1375,bloc rockin' beats,0 -,x,"Austria, Rax-Schneeberg-Gruppe, AdlitzgrA$?ben"
1376,epita left,0 -,hard,"Czechia, HolAtejn"
1377,los atletas de la roca,0 -,x,"Spain, Huesca, Alquezar"
1378,tirabolts,0 -,x,"Spain, Lleida, Terradets"
1379,mort aux voleurs de feu,0,x,"France, Baume les dames"
1380,plus dure sera la chute,0 -,hard,"France, Baume les dames"
1381,varianta hodiny sirael,0 -,x,"Unknown, OsvetimanskA(c) skA!ly,Chriby"
1382,"caffa"" espresso",0,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1383,last minute,0 -,x,"Czechia, LabskA(c) AodolA, Yellowstone"
1384,monkey business,0 -,x,"Germany, Frankenjura, ZZ Top Grotte"
1385,la ligne noire,0 -,x,"France, Nice, Gorges du Loup"
1386,milenium,0 -,x,"Spain, Lleida, Terradets"
1387,legalizacion,0 -,x,"Spain, Rodellar, Gran BA3veda"
1388,super wives,0 -,x,"Italy, Oltrefinale / Albenga, Antro di Castelbianco"
1389,insomnia,0,x,"Germany, Frankenjura, ZiegelmA 1/4 hler Wand & Bleisteine"
1390,master of desaster,0 -,x,"Germany, Frankenjura, Leupoldsteiner Wand"
1391,la canaleta l1+l2,0 -,x,"Spain, Montsant, El RacA3 de Missa"
1392,javas,0 -,x,"Italy, Andonno"
1393,saharagga,0 -,x,"France, Nice, Peillon"
1394,izgubljeni sin,0 -,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1395,galaktika,0 -,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1396,samova cesta,0 -,hard,"Czechia, MoravskA 1/2  kras"
1397,georg ehmann gedenkweg direkt,0 -,x,"Germany, Frankenjura, Student"
1398,40 sekunden countdown,0 -,nice,"Germany, Frankenjura, GruInbauer Ged.-Wand"
1399,brandlemoucha,0,x,"Czechia, MoravskA 1/2  kras"
1400,kleine mistviecher,0,x,"Germany, Frankenjura, Hetzendorfer Wand"
1401,wallfahrt,0 -,x,"Germany, Frankenjura, Wallfahrt & Eliade"
1402,la bomba,0 -,x,"Czechia, LabskA(c) AodolA, DolnA A 1/2 leb"
1403,salena 1/2  tanec / irrer tanz,0,x,"Czechia, LabskA(c) AodolA, DolnA A 1/2 leb"
1404,francouzska 1/2  styl,0 -,x,"Unknown, Panteon"
1405,taaka! karta,0,technical,"Unknown, TeplickA(c) skA!ly"
1406,snehurka a 7 ostra 1/2 ch pokusu,0 -,x,"Czechia, MoravskA 1/2  kras"
1407,xxl,0 -,x,"Germany, Frankenjura, Castellwand"
1408,drachenkapnig,0,x,"Germany, Frankenjura, Drachenburg"
1409,pedra-v smrk,0,x,"Czechia, MoravskA 1/2  kras"
1410,encore,0 -,x,"France, CA(c)A 1/4 se, Demi Lune"
1411,the kings of metal,0 -,x,"Spain, Rodellar, Las Ventanas del Mascun"
1412,montserrat,0 -,x,"Spain, Rodellar, Las Ventanas del Mascun"
1413,familia manson,0 -,x,"Spain, Rodellar, Familia Manson"
1414,aporia,0 -,x,"Spain, Rodellar, La Surgencia"
1415,gladiator,0 -,x,"Spain, Rodellar, Gran BA3veda"
1416,la tarte aux poils,0 -,x,"France, Gorges du Tarn, AmphithA(c)atre"
1417,boura!na pomnaka-,0,x,"Unknown, prachov"
1418,wickie und die starken ma$?nner,0 -,x,"Germany, Kochel, Rockywand"
1419,curio,0 -,x,"Czechia, MoravskA 1/2  kras"
1420,snatch away,0 -,x,"Germany, Frankenjura, Holzgauer Wand"
1421,pulp fiction,0 -,x,"Unknown, OsvAtimanskA(c) skA!ly"
1422,starkstrom,0,x,"Germany, Frankenjura, Kalte Wand"
1423,spit bull,0 -,x,"France, Saint LA(c)ger, Face Sud"
1424,le prince du lactique,0 -,x,"France, Saint LA(c)ger, Face Sud"
1425,la(c)gitime da(c)mence,0 -,x,"France, Saint LA(c)ger, Face Sud"
1426,"dis moi qui tu hais, je te dirai qui tu suis",0 -,x,"France, Saint LA(c)ger, Face Est"
1427,les a(c)pinards aux violettes,0 -,x,"France, Saint LA(c)ger, Face Ouest"
1428,chouca,0 -,x,"France, Aix-en-Provence, Buoux"
1429,da(c)versa(c) satanique,0 -,x,"France, Nice, Gorges du Loup"
1430,terre de feu,0 -,x,"France, Nice, La Turbie"
1431,figaro,0 -,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1432,zadnja skua!njava,0 -,x,"Slovenia, Osp/Misja Pec, Banje in Babna"
1433,top gun,0 -,x,"Czechia, MoravskA 1/2  kras"
1434,provokace,0 -,x,"Czechia, MoravskA 1/2  kras"
1435,za!kaz vstupu ...,0 -,x,"Czechia, MoravskA 1/2  kras"
1436,desperado,0 -,x,"Germany, Frankenjura, Solarium"
1437,nama 1/2  hrobeaek,0 -,x,"Czechia, MoravskA 1/2  kras"
1438,a bicyclette l2,0 -,easy,"France, Gorges du Tarn, Tennessee"
1439,la bomba,0 -,x,"France, Gorges du Tarn, Dromadaire"
1440,priez pour nous (l1),0 -,x,"France, Gorges du Tarn, Tennessee"
1441,gage de ma parole,0 -,x,"France, Gorges du Tarn, Grand toit"
1442,jelankova,0 -,x,"Czechia, MoravskA 1/2  kras"
1443,apendix,0 -,x,"Czechia, MoravskA 1/2  kras"
1444,hradna spa!ra,0 -,x,"Czechia, MoravskA 1/2  kras"
1445,ippolitto,0 -,x,"Czechia, MoravskA 1/2  kras"
1446,mua s datatem...,0 -,x,"Czechia, MoravskA 1/2  kras"
1447,sms,0 -,x,"Germany, Frankenjura, Jungfernriss"
1448,banglada(c)a,0 -,x,"Czechia, MoravskA 1/2  kras"
1449,pingvin b,0 -,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1450,truplojedka,0 -,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1451,sonce v oaeh,0 -,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1452,destrukce,0 -,hard,"Czechia, MoravskA 1/2  kras"
1453,dinosaure,0 -,x,"France, Gard, Seynes"
1454,maelstrom,0 -,x,"France, Gard, Russan"
1455,rychla! smrt,0 -,x,"Czechia, MoravskA 1/2  kras"
1456,muira puana,-1 +,x,"Italy, Oltrefinale / Albenga, Erboristeria"
1457,cornichon explosif,-1 +,easy,"France, Nice, GrA(c)oliA""res"
1458,lapida(c) a  la figue molle l2,-1 +,x,"France, Aix-en-Provence, Buoux"
1459,graceland,-1 +,nice,"Slovenia, Celje, Golobove peAine"
1460,divjina,-1 +,x,"Slovenia, Ter"
1461,striptizeta,-1 +,x,"Croatia, VranjaAa"
1462,death moth,-1 +,hard,"Malta, Victoria Lines"
1463,apricot tart,-1 +,amazing,"Malta, Dahlet Qorrot"
1464,viagra,-1 +,x,"Norway, Trondheim, Hell"
1465,nagells metode,-1 +,x,"Norway, Trondheim, Hell"
1466,frank andersson,-1 +,x,"Norway, Trondheim, Hell"
1467,obsidia!n,-1 +,x,"Slovakia, Harmanec Krpcovo"
1468,solarium,-1 +,x,"Italy, Arco, Padaro"
1469,jeeg robot,-1 +,x,"Italy, Arco, Padaro"
1470,l'occhio della tigre,-1 +,x,"Italy, Arco, Le Piazzole"
1471,incantesimo,0,x,"Italy, Arco, Massone"
1472,buscando a pepillo,0,x,"Spain, Siurana, L'Aparador"
1473,n.n.,-1 +,x,"Spain, Siurana, Can A prop"
1474,ragnarapk,-1 +,x,"Germany, Frankenjura, Schlaraffenland"
1475,ahnerbe,-1 +,hard,"Czechia, MoravskA 1/2  kras"
1476,fina!lova!,-1 +,easy,"Czechia, BohdAkov"
1477,homo erectus,-1 +,x,"France, Nice, Blavet"
1478,plugim-pujant,-1 +,x,"Spain, Margalef, El BalcA3 de LaErmita"
1479,laura,-1 +,x,"Spain, Margalef, El BalcA3 de LaErmita"
1480,"el vuita"" art",-1 +,x,"Spain, Margalef, El BalcA3 de LaErmita"
1481,cerco iba(c)rico,-1 +,x,"Spain, Margalef, Mainadera"
1482,usain bolter r1,-1 +,x,"Spain, Lleida, Cuniller"
1483,happy end,-1 +,soft,"Croatia, VranjaAa"
1484,mia l2,-1 +,x,"Croatia, VranjaAa"
1485,botaniaki vrt,-1 +,hard,"Croatia, Paklenica, Sindrom"
1486,winnetou,-1 +,x,"Croatia, Paklenica, Sindrom"
1487,mrakan,-1 +,x,"Croatia, Paklenica, Hram"
1488,cigo,-1 +,x,"Croatia, Paklenica, Sindrom"
1489,snoop dogg direkt com,-1 +,x,"Croatia, Istria, Sopot / Pandora"
1490,domaae kobasice,-1 +,x,"Croatia, Istria, Kompanj"
1491,realitats verlust,-1 +,x,"Croatia, Istria, Kompanj"
1492,hydra,-1 +,amazing,"Italy, Arco, Terra Promessa"
1493,callate,-1 +,x,"Chile, Valle de los CA3ndores"
1494,"oh, baby!",-1 +,x,"Chile, Valle de los CA3ndores"
1495,rodaran cabezas,-1 +,x,"Chile, Valle de los CA3ndores"
1496,concepcion,-1 +,x,"United States, Day Canyon"
1497,belly full of bad berries,0,x,"United States, Indian Creek (UT), Critic's Choice"
1498,air swedin,-1 +,x,"United States, Indian Creek (UT), Battle of the Bulge"
1499,aggro monkey,-1 +,x,"United States, Smith Rocks (OR), Aggro Gully"
1500,cosmic debris,-1 +,x,"United States, Yosemite (CA), Chapel Wall"
1501,stop making sense,-1 +,x,"Italy, Arco, Volta di No"
1502,black hole sun,-1 +,x,"Germany, Frankenjura, Planetarium"
1503,the angry inch,-1 +,x,"Canada, Calgary, Acephale"
1504,the hood,-1 +,x,"Canada, Calgary, Acephale"
1505,je t'aime moi non plus,-1 +,x,"France, Aix-en-Provence, Lourmarin"
1506,panique au poulailler,-1 +,x,"France, Saint LA(c)ger, Face Sud"
1507,le mari de la baleine,-1 +,x,"France, Saint LA(c)ger, Face Est"
1508,dra'le d'ida(c)e,-1 +,x,"Switzerland, Fribourg, Charmey"
1509,schattenjagd,-1 +,x,"Switzerland, Ticino, Ponte Brolla"
1510,la danza dei cavalieri,-1 +,x,"Italy, Sperlonga, Spiaggia dell'Arenauta"
1511,nantru alenu e sole,-1 +,technical,"Italy, Sperlonga, Spiaggia dell'Arenauta"
1512,la mia nuova fidanzata,-1 +,x,"Italy, Sperlonga, Spiaggia dell'Arenauta"
1513,supritza spetznaz,-1 +,x,"Israel, Nezer Cave"
1514,tour de force,-1 +,x,"Israel, Nezer Cave"
1515,straightened,-1 +,x,"United Kingdom, Malham"
1516,n.n.,0,x,"Italy, Arco, Laghel"
1517,teddys wampe,-1 +,x,"Germany, Frankenjura, Waldkopf"
1518,mawis wampe,-1 +,x,"Germany, Frankenjura, Waldkopf"
1519,mad rock,-1 +,x,"sweden, bohuslan, granitgrottan"
1520,twilight,0,x,"Germany, Frankenjura, Zwergenschloss"
1521,jcd,-1 +,x,"Italy, Arco, Calvario"
1522,no comment,-1 +,x,"Italy, Camaiore"
1523,ciao leo,-1 +,x,"Italy, Camaiore"
1524,rachel,-1 +,x,"Slovakia, Alternativna stena"
1525,"la quinta essa""ncia",-1 +,x,"Spain, Sadernes"
1526,deva3rame otra vez,-1 +,x,"Spain, Lleida, Santa Linya"
1527,burger king,-1 +,x,"Austria, Wilder Kaiser, Achleiten"
1528,massive attack,-1 +,x,"France, Nice, Castillon"
1529,life sentence,-1 +,x,"United States, California, Jailhouse"
1530,public mayhem,-1 +,x,"United States, California, Jailhouse"
1531,meat grinder arete,1,amazing,"United States, Yosemite (CA), Cookie Cliff"
1532,bett des fakirs,-1 +,x,"Switzerland, Interlaken, Gimmelwand"
1533,kra!tka 1/2  proces,-1 +,x,"Slovakia, Harmanecka JaskyAa"
1534,go big or go home,-1 +,x,"Germany, AllgA$?u, Starzlachklamm"
1535,das huhn,-1 +,x,"Germany, AllgA$?u, Rottachberg"
1536,femme rouge,-1 +,x,"Switzerland, Interlaken, Gimmelwand"
1537,eventyrblanding extension,-1 +,x,"Norway, Flatanger"
1538,too late,-1 +,x,"Croatia, Istria, Buzetski kanjon"
1539,lovranska droga,-1 +,x,"Croatia, Istria, Medveja"
1540,fetia ura,-1 +,x,"Slovenia, Osp/Misja Pec, Banje in Babna"
1541,go west,0,x,"Spain, Sadernes"
1542,n.n.,-1 +,x,"Spain, Cova de l'Ocell"
1543,bon viatge,-1 +,x,"Spain, Lleida, Terradets"
1544,gosse de riche,-1 +,x,"France, Alpilles, Orgon"
1545,mambo mamba,-1 +,x,"Spain, Bilbao, Araotz/OA+-ate"
1546,tekila,0,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1547,pegue nocturno,-1 +,x,"Spain, Lleida, Santa Linya"
1548,smashing mike and the mechanic,-1 +,x,"Czechia, Srbsko"
1549,aao bejbe (a.k.a. aao piake),-1 +,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1550,oaza harmonie,-1 +,x,"Slovakia, Sulov"
1551,milchstraae,-1 +,hard,"Germany, Frankenjura, Holzgauer Wand"
1552,miracle,-1 +,x,"Italy, Verona, Ceredo"
1553,beauty,-1 +,x,"Italy, Verona, Covolo"
1554,moustache corner,-1 +,x,"Italy, Arco, Unknown Crag"
1555,i de godes selskap,-1 +,x,"Norway, Trondheim, Hell"
1556,friidrettsdama,-1 +,x,"Norway, Trondheim, Hell"
1557,les pitchounes,-1 +,x,"France, BrianASSon, Entraygues"
1558,triad,-1 +,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1559,snooker,-1 +,classic,"Austria, Zillertal, Ewige JagdgrA 1/4 nde"
1560,cost of freedom,-1 +,nice,"France, BrianASSon, Tournoux"
1561,allertallos,-1 +,nice,"Italy, Gravere"
1562,shaoshing,-1 +,x,"France, Aix-en-Provence, Volx"
1563,cookie explosion,-1 +,x,"Spain, Bilbao, Baltzola"
1564,pipajaten,-1 +,x,"Spain, Bilbao, Valdegobia (Villanueva de ValdegobAa)"
1565,el visionario,0,amazing,"Spain, Bilbao, Larraona"
1566,superarkalis,-1 +,fun,"Spain, Ramales"
1567,karakoram,-1 +,x,"Italy, Arco, Unknown Crag"
1568,la linea verde,-1 +,x,"Italy, Arco, Unknown Crag"
1569,n.n.,-1 +,x,"Italy, Arco, Unknown Crag"
1570,n.n.,-1 +,x,"Italy, Arco, Unknown Crag"
1571,la organizadora abertxale,-1 +,nice,"Spain, Margalef, El RacA3 de La Finestra"
1572,dando brea,-1 +,x,"Spain, Margalef, El RacA3 de La Finestra"
1573,la sombra del viento,-1 +,x,"Spain, Margalef, El RacA3 de La Finestra"
1574,telemaster,-1 +,x,"Spain, Margalef, RacA3 de Les Espadelles"
1575,rue,-1 +,technical,"Italy, Madrabau"
1576,das dach,-1 +,nice,"Germany, Frankenjura, HA$?ngender Stein"
1577,metallica,-1 +,x,"Germany, Frankenjura, BA$?renschlucht"
1578,nih minh wang,-1 +,x,"Norway, Trondheim, Hell"
1579,n.n.,0,fun,"Norway, Flatanger"
1580,gusanito,0,nice,"Norway, Flatanger"
1581,klassisk mekanikk,-1 +,x,"Norway, Trondheim, Hell"
1582,oberberg rock festival,-1 +,x,"Switzerland, Fribourg, Wandfluh - Gastlosen"
1583,akosystem,-1 +,fun,"Austria, Kufstein, Sparchen"
1584,litt pay= kanten,-1 +,x,"Norway, Flatanger"
1585,berntsenbanden extension,-1 +,x,"Norway, Flatanger"
1586,blandijao,-1 +,x,"Spain, Bilbao, Baltzola"
1587,pappa pronta,-1 +,x,"Italy, Val d'Aosta, Il Cubo"
1588,golden touch,-1 +,x,"United States, Red River Gorge (KY), The Motherlode"
1589,milf money,0,x,"United States, Red River Gorge (KY), Bob Marley"
1590,golden boy,-1 +,x,"United States, Red River Gorge (KY), Gold Coast"
1591,no redemption,-1 +,x,"United States, Red River Gorge (KY), Bob Marley"
1592,up and go,-1 +,nice,"Norway, Sleppen"
1593,flaggermusmannen,-1 +,x,"Norway, Flatanger"
1594,la couleur du vent,-1 +,x,"France, CA(c)A 1/4 se, Berlin"
1595,"la tordeuse de ma(c)la""zes",-1 +,x,"France, BrianASSon, Entraygues"
1596,tajerino,-1 +,x,"Italy, Arco, Bus de Vela"
1597,mon dieu,0,awesome,"Spain, Lleida, Oliana"
1598,transilvania,-1 +,x,"Spain, Margalef, RacA3 de Les Espadelles"
1599,skuruta bah / lauf,0,x,"Czechia, LabskA(c) AodolA, DolnA A 1/2 leb"
1600,pollastre de granja,0,x,"Spain, Margalef, Ca La Marta"
1601,vertigen,0,x,"Spain, Margalef, El Laboratori / Totxo d'en Fredi"
1602,sargantana killer,-1 +,x,"Spain, Margalef, El RacA3 de La Finestra"
1603,aeropla stica extensia3n,-1 +,x,"Spain, Margalef, El RacA3 de La Finestra"
1604,n.n.,-1 +,x,"Italy, Zoia"
1605,connect 4,-1 +,hard,"United Kingdom, Malham"
1606,pelos punta,-1 +,x,"Spain, Malaga, Villanueva del Rosario"
1607,sidharta,0,x,"Slovakia, Alternativna stena"
1608,en rebeldia,-1 +,amazing,"Spain, Etxauri"
1609,surprise de taille,-1 +,x,"France, Baume les dames"
1610,la capella ardiente,-1 +,x,"Spain, Siurana, La Capella"
1611,"atomic caffa""",-1 +,x,"Italy, Verona, Lumignano Classica"
1612,el somaro,-1 +,x,"Italy, Verona, Lumignano Classica"
1613,cartes blanche,0,x,"France, CA(c)A 1/4 se, Demi Lune"
1614,l'ami caouette,-1 +,x,"France, CA(c)A 1/4 se, Demi Lune"
1615,bourinator,-1 +,x,"France, CA(c)A 1/4 se, Beau mouvement"
1616,glory days,-1 +,x,"Italy, Gressoney"
1617,toilet,-1 +,fun,"United Kingdom, Raven Tor"
1618,raindogs,-1 +,fun,"United Kingdom, Malham"
1619,zoolook,-1 +,hard,"United Kingdom, Malham"
1620,muts i a la ga bia,-1 +,x,"Spain, Siurana, Ca La Isabel"
1621,antuan pirulero,-1 +,x,"Spain, Siurana, Ca La Isabel"
1622,un rato en cada postura,-1 +,x,"Spain, Siurana, Can Piqui Pugui"
1623,araldite,-1 +,x,"France, Montpellier, Claret"
1624,albanski konjak (2nd anch.),0,x,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
1625,marylin,-1 +,x,"Italy, Sardinia, Domusnovas"
1626,beat,-1 +,x,"Italy, Sardinia, Domusnovas"
1627,kalypso,0,x,"Austria, Kufstein, Geisterschmiedwand"
1628,marque en toit,-1 +,x,"Switzerland, Basler Jura, Chuenisberg"
1629,monster crack,-1 +,x,"Switzerland, Basler Jura, Chuenisberg"
1630,fafifurni,0,x,"Italy, Arco, Passo San Giovanni"
1631,chorus line,-1 +,x,"Germany, Frankenjura, Zwergenschloss"
1632,hoachwetter,-1 +,hard,"Austria, Zillertal, Ewige JagdgrA 1/4 nde"
1633,reise nach ixtlan,-1 +,x,"Austria, Zillertal, Ewige JagdgrA 1/4 nde"
1634,alarm,-1 +,x,"Austria, Zillertal, Ewige JagdgrA 1/4 nde"
1635,mr short extension,-1 +,x,"South Africa, Baviaanskloof"
1636,mamma africa,-1 +,x,"South Africa, Oudtshoorn"
1637,el nino,-1 +,x,"South Africa, Oudtshoorn"
1638,up for grabs,-1 +,x,"South Africa, Oudtshoorn"
1639,cookie monster,0,x,"South Africa, Fort Fordyce"
1640,fight for the last cookie,-1 +,x,"South Africa, Fort Fordyce"
1641,lokomotiva,-1 +,x,"Czechia, Srbsko"
1642,mescalito,-1 +,x,"Germany, Bayerische Voralpen, Karlstein"
1643,n.n.,-1 +,x,"Germany, Endstal"
1644,angelika,-1 +,x,"Greece, Kalymnos, Arhi"
1645,daniboy,-1 +,x,"Greece, Kalymnos, Spartacus"
1646,the path to deliverance,-1 +,x,"Greece, Kalymnos, Spartan Wall"
1647,sardonique,-1 +,x,"Greece, Kalymnos, Odyssey"
1648,armed response,-1 +,x,"Germany, Frankenjura, BA$?rnfelswand"
1649,riot act,-1 +,x,"Germany, Frankenjura, BA$?rnfelswand"
1650,der sinn des lebens,-1 +,x,"Austria, Zillertal, GschlAPssl"
1651,incantesimo,-1 +,x,"Italy, Verona, Covolo"
1652,fantasie sotto l'orizzontale,-1 +,x,"Italy, Verona, Covolo"
1653,tucson,-1 +,x,"Italy, Erto"
1654,saggezza,-1 +,fun,"Italy, Passo della Presolana"
1655,i valsasnatt,-1 +,x,"Italy, Masone"
